timestamp_utc,timestamp_ms,open,high,low,close,volume,ticker
2025-03-06 23:59:00,1741305540000,66.3,66.33,66.3,66.33,27,CLJ5
2025-03-06 23:58:00,1741305480000,66.29,66.3,66.29,66.3,11,CLJ5
2025-03-06 23:57:00,1741305420000,66.29,66.29,66.28,66.29,8,CLJ5
2025-03-06 23:56:00,1741305360000,66.28,66.28,66.28,66.28,4,CLJ5
2025-03-06 23:54:00,1741305240000,66.28,66.28,66.28,66.28,6,CLJ5
2025-03-06 23:53:00,1741305180000,66.27,66.27,66.27,66.27,6,CLJ5
2025-03-06 23:50:00,1741305000000,66.27,66.27,66.27,66.27,1,CLJ5
2025-03-06 23:49:00,1741304940000,66.26,66.27,66.26,66.27,2,CLJ5
2025-03-06 23:48:00,1741304880000,66.26,66.26,66.26,66.26,4,CLJ5
2025-03-06 23:46:00,1741304760000,66.27,66.27,66.27,66.27,4,CLJ5
2025-03-06 23:45:00,1741304700000,66.28,66.28,66.27,66.28,7,CLJ5
2025-03-06 23:44:00,1741304640000,66.27,66.27,66.27,66.27,1,CLJ5
2025-03-06 23:43:00,1741304580000,66.27,66.28,66.27,66.27,11,CLJ5
2025-03-06 23:42:00,1741304520000,66.28,66.28,66.27,66.27,5,CLJ5
2025-03-06 23:41:00,1741304460000,66.27,66.28,66.27,66.28,2,CLJ5
2025-03-06 23:39:00,1741304340000,66.27,66.27,66.26,66.26,9,CLJ5
2025-03-06 23:38:00,1741304280000,66.28,66.28,66.27,66.27,6,CLJ5
2025-03-06 23:36:00,1741304160000,66.28,66.28,66.28,66.28,1,CLJ5
2025-03-06 23:35:00,1741304100000,66.27,66.27,66.27,66.27,3,CLJ5
2025-03-06 23:34:00,1741304040000,66.27,66.28,66.27,66.27,11,CLJ5
2025-03-06 23:33:00,1741303980000,66.27,66.29,66.26,66.28,26,CLJ5
2025-03-06 23:32:00,1741303920000,66.27,66.27,66.27,66.27,2,CLJ5
2025-03-06 23:31:00,1741303860000,66.26,66.27,66.26,66.27,2,CLJ5
2025-03-06 23:29:00,1741303740000,66.27,66.27,66.25,66.25,5,CLJ5
2025-03-06 23:27:00,1741303620000,66.27,66.27,66.26,66.26,8,CLJ5
2025-03-06 23:26:00,1741303560000,66.27,66.27,66.26,66.27,5,CLJ5
2025-03-06 23:25:00,1741303500000,66.26,66.26,66.25,66.26,4,CLJ5
2025-03-06 23:24:00,1741303440000,66.26,66.26,66.26,66.26,4,CLJ5
2025-03-06 23:23:00,1741303380000,66.27,66.27,66.27,66.27,1,CLJ5
2025-03-06 23:22:00,1741303320000,66.27,66.27,66.26,66.26,7,CLJ5
2025-03-06 23:21:00,1741303260000,66.28,66.28,66.26,66.27,24,CLJ5
2025-03-06 23:20:00,1741303200000,66.29,66.29,66.28,66.28,5,CLJ5
2025-03-06 23:18:00,1741303080000,66.28,66.3,66.28,66.3,16,CLJ5
2025-03-06 23:17:00,1741303020000,66.28,66.28,66.28,66.28,1,CLJ5
2025-03-06 23:16:00,1741302960000,66.28,66.28,66.27,66.28,15,CLJ5
2025-03-06 23:15:00,1741302900000,66.28,66.28,66.26,66.28,11,CLJ5
2025-03-06 23:14:00,1741302840000,66.28,66.28,66.28,66.28,5,CLJ5
2025-03-06 23:13:00,1741302780000,66.28,66.28,66.27,66.27,6,CLJ5
2025-03-06 23:12:00,1741302720000,66.25,66.28,66.25,66.28,19,CLJ5
2025-03-06 23:11:00,1741302660000,66.28,66.28,66.26,66.26,36,CLJ5
2025-03-06 23:10:00,1741302600000,66.28,66.29,66.28,66.28,3,CLJ5
2025-03-06 23:09:00,1741302540000,66.29,66.29,66.27,66.29,8,CLJ5
2025-03-06 23:08:00,1741302480000,66.29,66.29,66.28,66.28,10,CLJ5
2025-03-06 23:07:00,1741302420000,66.29,66.29,66.29,66.29,7,CLJ5
2025-03-06 23:06:00,1741302360000,66.3,66.3,66.3,66.3,1,CLJ5
2025-03-06 23:05:00,1741302300000,66.29,66.29,66.29,66.29,6,CLJ5
2025-03-06 23:04:00,1741302240000,66.32,66.32,66.28,66.29,33,CLJ5
2025-03-06 23:03:00,1741302180000,66.32,66.33,66.32,66.33,7,CLJ5
2025-03-06 23:02:00,1741302120000,66.28,66.32,66.27,66.32,41,CLJ5
2025-03-06 23:01:00,1741302060000,66.25,66.27,66.24,66.27,27,CLJ5
2025-03-06 23:00:00,1741302000000,66.34,66.35,66.21,66.25,110,CLJ5
2025-03-06 21:59:00,1741298340000,66.26,66.27,66.25,66.27,47,CLJ5
2025-03-06 21:58:00,1741298280000,66.27,66.27,66.24,66.27,116,CLJ5
2025-03-06 21:57:00,1741298220000,66.31,66.31,66.28,66.28,24,CLJ5
2025-03-06 21:56:00,1741298160000,66.31,66.32,66.31,66.31,9,CLJ5
2025-03-06 21:55:00,1741298100000,66.31,66.32,66.29,66.3,27,CLJ5
2025-03-06 21:54:00,1741298040000,66.3,66.31,66.29,66.3,34,CLJ5
2025-03-06 21:53:00,1741297980000,66.27,66.29,66.27,66.29,14,CLJ5
2025-03-06 21:52:00,1741297920000,66.27,66.27,66.26,66.27,10,CLJ5
2025-03-06 21:51:00,1741297860000,66.29,66.3,66.28,66.28,23,CLJ5
2025-03-06 21:50:00,1741297800000,66.28,66.3,66.28,66.3,10,CLJ5
2025-03-06 21:49:00,1741297740000,66.28,66.29,66.27,66.29,53,CLJ5
2025-03-06 21:48:00,1741297680000,66.26,66.28,66.26,66.28,30,CLJ5
2025-03-06 21:47:00,1741297620000,66.3,66.31,66.26,66.27,51,CLJ5
2025-03-06 21:46:00,1741297560000,66.31,66.31,66.29,66.29,16,CLJ5
2025-03-06 21:45:00,1741297500000,66.29,66.3,66.29,66.3,24,CLJ5
2025-03-06 21:44:00,1741297440000,66.28,66.3,66.28,66.3,19,CLJ5
2025-03-06 21:43:00,1741297380000,66.28,66.29,66.28,66.28,21,CLJ5
2025-03-06 21:42:00,1741297320000,66.3,66.31,66.28,66.28,39,CLJ5
2025-03-06 21:41:00,1741297260000,66.3,66.3,66.28,66.3,20,CLJ5
2025-03-06 21:40:00,1741297200000,66.32,66.34,66.29,66.3,171,CLJ5
2025-03-06 21:39:00,1741297140000,66.34,66.34,66.33,66.33,21,CLJ5
2025-03-06 21:38:00,1741297080000,66.36,66.37,66.34,66.34,12,CLJ5
2025-03-06 21:37:00,1741297020000,66.38,66.38,66.35,66.36,44,CLJ5
2025-03-06 21:36:00,1741296960000,66.36,66.38,66.36,66.38,33,CLJ5
2025-03-06 21:35:00,1741296900000,66.34,66.36,66.33,66.36,23,CLJ5
2025-03-06 21:34:00,1741296840000,66.31,66.36,66.31,66.35,75,CLJ5
2025-03-06 21:33:00,1741296780000,66.31,66.31,66.3,66.3,25,CLJ5
2025-03-06 21:32:00,1741296720000,66.34,66.34,66.31,66.31,17,CLJ5
2025-03-06 21:31:00,1741296660000,66.34,66.34,66.32,66.33,92,CLJ5
2025-03-06 21:30:00,1741296600000,66.37,66.37,66.34,66.34,23,CLJ5
2025-03-06 21:29:00,1741296540000,66.34,66.38,66.34,66.37,37,CLJ5
2025-03-06 21:28:00,1741296480000,66.36,66.36,66.34,66.34,16,CLJ5
2025-03-06 21:27:00,1741296420000,66.36,66.37,66.36,66.36,7,CLJ5
2025-03-06 21:26:00,1741296360000,66.36,66.36,66.35,66.36,25,CLJ5
2025-03-06 21:25:00,1741296300000,66.39,66.4,66.36,66.37,50,CLJ5
2025-03-06 21:24:00,1741296240000,66.37,66.4,66.36,66.39,88,CLJ5
2025-03-06 21:23:00,1741296180000,66.35,66.38,66.33,66.36,138,CLJ5
2025-03-06 21:22:00,1741296120000,66.29,66.35,66.29,66.35,89,CLJ5
2025-03-06 21:21:00,1741296060000,66.28,66.31,66.28,66.3,48,CLJ5
2025-03-06 21:20:00,1741296000000,66.28,66.28,66.27,66.27,11,CLJ5
2025-03-06 21:19:00,1741295940000,66.28,66.28,66.28,66.28,7,CLJ5
2025-03-06 21:18:00,1741295880000,66.28,66.28,66.28,66.28,6,CLJ5
2025-03-06 21:17:00,1741295820000,66.28,66.29,66.28,66.29,50,CLJ5
2025-03-06 21:16:00,1741295760000,66.28,66.29,66.27,66.27,35,CLJ5
2025-03-06 21:15:00,1741295700000,66.27,66.28,66.27,66.27,14,CLJ5
2025-03-06 21:14:00,1741295640000,66.25,66.28,66.24,66.28,60,CLJ5
2025-03-06 21:13:00,1741295580000,66.27,66.27,66.24,66.25,57,CLJ5
2025-03-06 21:12:00,1741295520000,66.26,66.26,66.26,66.26,19,CLJ5
2025-03-06 21:11:00,1741295460000,66.26,66.26,66.25,66.26,14,CLJ5
2025-03-06 21:10:00,1741295400000,66.27,66.28,66.27,66.27,27,CLJ5
2025-03-06 21:09:00,1741295340000,66.27,66.27,66.26,66.27,13,CLJ5
2025-03-06 21:08:00,1741295280000,66.27,66.28,66.26,66.27,16,CLJ5
2025-03-06 21:07:00,1741295220000,66.28,66.29,66.27,66.27,48,CLJ5
2025-03-06 21:06:00,1741295160000,66.27,66.28,66.27,66.28,10,CLJ5
2025-03-06 21:05:00,1741295100000,66.26,66.27,66.26,66.27,19,CLJ5
2025-03-06 21:04:00,1741295040000,66.26,66.27,66.26,66.26,14,CLJ5
2025-03-06 21:03:00,1741294980000,66.25,66.27,66.25,66.26,31,CLJ5
2025-03-06 21:02:00,1741294920000,66.24,66.26,66.24,66.26,14,CLJ5
2025-03-06 21:01:00,1741294860000,66.25,66.27,66.25,66.25,36,CLJ5
2025-03-06 21:00:00,1741294800000,66.21,66.25,66.2,66.25,61,CLJ5
2025-03-06 20:59:00,1741294740000,66.23,66.24,66.21,66.21,77,CLJ5
2025-03-06 20:58:00,1741294680000,66.23,66.24,66.23,66.24,55,CLJ5
2025-03-06 20:57:00,1741294620000,66.26,66.27,66.24,66.24,72,CLJ5
