timestamp_utc,timestamp_ms,open,high,low,close,volume,ticker
2024-12-18 21:59:00,1734559140000,70,70,70,70,1,CLF5
2024-12-18 21:54:00,1734558840000,70,70,70,70,1,CLF5
2024-12-18 21:47:00,1734558420000,70,70,70,70,1,CLF5
2024-12-18 21:45:00,1734558300000,70.04,70.04,70.04,70.04,1,CLF5
2024-12-18 21:44:00,1734558240000,70.02,70.02,70.01,70.01,11,CLF5
2024-12-18 21:43:00,1734558180000,70.05,70.05,70.03,70.03,12,CLF5
2024-12-18 21:42:00,1734558120000,70.02,70.03,70.02,70.03,6,CLF5
2024-12-18 21:39:00,1734557940000,70.09,70.09,70.09,70.09,15,CLF5
2024-12-18 21:36:00,1734557760000,70.08,70.08,70.08,70.08,4,CLF5
2024-12-18 21:34:00,1734557640000,70.08,70.08,70.08,70.08,37,CLF5
2024-12-18 21:27:00,1734557220000,70.08,70.08,70.08,70.08,1,CLF5
2024-12-18 21:25:00,1734557100000,70.05,70.05,70.05,70.05,4,CLF5
2024-12-18 21:19:00,1734556740000,70.11,70.12,70.11,70.12,4,CLF5
2024-12-18 21:03:00,1734555780000,70,70,70,70,3,CLF5
2024-12-18 21:00:00,1734555600000,70.05,70.06,70.05,70.05,12,CLF5
2024-12-18 20:59:00,1734555540000,70.04,70.05,70.02,70.02,21,CLF5
2024-12-18 20:58:00,1734555480000,70.03,70.03,70.03,70.03,1,CLF5
2024-12-18 20:56:00,1734555360000,70.03,70.03,70.02,70.02,2,CLF5
2024-12-18 20:55:00,1734555300000,70.05,70.05,70.03,70.03,3,CLF5
2024-12-18 20:54:00,1734555240000,70.06,70.06,70.06,70.06,4,CLF5
2024-12-18 20:53:00,1734555180000,70.05,70.05,70.05,70.05,1,CLF5
2024-12-18 20:44:00,1734554640000,69.99,69.99,69.99,69.99,1,CLF5
2024-12-18 20:34:00,1734554040000,70.1,70.1,70.1,70.1,1,CLF5
2024-12-18 20:33:00,1734553980000,70.1,70.1,70.1,70.1,1,CLF5
2024-12-18 20:31:00,1734553860000,70.14,70.14,70.14,70.14,2,CLF5
2024-12-18 20:17:00,1734553020000,70.22,70.22,70.22,70.22,10,CLF5
2024-12-18 20:16:00,1734552960000,70.25,70.25,70.25,70.25,7,CLF5
2024-12-18 20:15:00,1734552900000,70.2,70.24,70.2,70.24,23,CLF5
2024-12-18 20:13:00,1734552780000,70.18,70.18,70.18,70.18,3,CLF5
2024-12-18 20:11:00,1734552660000,70.2,70.23,70.19,70.19,9,CLF5
2024-12-18 20:10:00,1734552600000,70.25,70.25,70.25,70.25,1,CLF5
2024-12-18 20:07:00,1734552420000,70.26,70.26,70.25,70.25,51,CLF5
2024-12-18 20:06:00,1734552360000,70.25,70.25,70.25,70.25,47,CLF5
2024-12-18 20:00:00,1734552000000,70.28,70.28,70.25,70.28,7,CLF5
2024-12-18 19:48:00,1734551280000,70.4,70.4,70.4,70.4,1,CLF5
2024-12-18 19:43:00,1734550980000,70.46,70.47,70.46,70.47,13,CLF5
2024-12-18 19:35:00,1734550500000,70.56,70.56,70.56,70.56,4,CLF5
2024-12-18 19:34:00,1734550440000,70.57,70.58,70.57,70.57,21,CLF5
2024-12-18 19:33:00,1734550380000,70.59,70.6,70.59,70.6,3,CLF5
