Topic,Asset,Interval,Target param,word_count,hour_sin,hour_cos,return_1d_lag1,vol_1d_lag1,return_1d_sma5,vol_1d_sma5,topic_sentiment
China,ES,1d,Return,0.13073613449725005,0.0560124217295024,0.050838070767427836,0.33734133123689114,0.048111663181155416,0.26636628384767014,0.0795392814518542,0.03105481328824873
Federal politics,ES,1d,Return,0.041529182710959206,0.022053803260692454,0.024355618461994438,0.43653753752356494,0.035362155605882475,0.34933785143267665,0.049886509222856965,0.04093734178137288
Iran war/Oil,ES,1d,Return,0.0665089571000041,0.04056912791916798,0.03176369829799963,0.3723801033424322,0.03522475018867006,0.3499263830173475,0.06410065207543177,0.039526328058946805
National security/Immigration,ES,1d,Return,0.04088263335857615,0.029692769595029856,0.02279014602706959,0.36724522789887054,0.04358673012397016,0.3883883063161154,0.05718481402148422,0.050229372658884136
Tariffs,ES,1d,Return,0.0585897108333864,0.047006060193792394,0.04226919426882844,0.3556795708689508,0.0433394423208943,0.35630085975933234,0.05579702021292422,0.04101814154189119
China,YM,1d,Return,0.09993127467347357,0.08594745770631791,0.06797215922484671,0.17355516413689545,0.061928747313092405,0.20300848581121603,0.09797104176397271,0.20968566937018523
Federal politics,YM,1d,Return,0.0758784046411461,0.04807788954853546,0.045272910744106394,0.3005292920344723,0.05746712721575437,0.30264529547392677,0.09055998686013252,0.07956909348192613
Federal politics,I_NDX,1d,Return,0.07774424034692629,0.046956460695967574,0.05261335778911365,0.2429830338502557,0.07585654707154048,0.32128419187589125,0.10078165784334503,0.08178051052696012
