Topic,Asset,Interval,Target param,RF_R2,RF_RMSE,Target_Std
China,CL,1d,Vol,-0.1316102679551936,1.0254139582209154e-05,9.639417375907052e-06
China,ES,5m,Vol,0.061201767443189614,9.15624582301221e-05,9.449989202023851e-05
China,ES,15m,Vol,-0.0952954737228291,5.841234348516221e-05,5.581346483728507e-05
China,ES,30m,Vol,-0.05220145910398655,3.312318663500151e-05,3.229108678434787e-05
China,ES,1h,Vol,0.1596385382969192,1.8563395432948144e-05,2.0249968505896394e-05
China,ES,1d,Vol,0.8408695544554458,8.099426787477879e-07,2.0303814862217e-06
China,YM,5m,Vol,0.03612774183658363,7.556609675358011e-05,7.696924909418339e-05
China,YM,15m,Vol,0.1552494025905089,4.59488264267979e-05,4.999311177042088e-05
China,YM,30m,Vol,-0.14100710983580367,3.197663790063881e-05,2.993564526017198e-05
China,YM,1h,Vol,0.19440337872691715,1.7852740085808346e-05,1.989051666149536e-05
China,YM,1d,Vol,0.4643931182795694,1.1272532989528134e-06,1.5402756180605588e-06
China,ZN,5m,Vol,-0.5589539533754249,2.559450750230827e-05,2.0498880009226188e-05
China,ZN,15m,Vol,-19.718444159648485,2.942876326220416e-05,6.4653708639306426e-06
China,ZN,30m,Vol,-254.69021614310623,5.468098461596523e-05,3.419631201024521e-06
China,ZN,1h,Vol,-1855.5345204301034,0.0001360111774818524,3.156625684854908e-06
China,ZN,1d,Vol,-22442.44447692313,3.8582325061391254e-05,2.575393768188563e-07
China,I_NDX,5m,Vol,0.1480551162511491,0.00012049094014548504,0.00013054151345336042
China,I_NDX,15m,Vol,-0.024504764839663906,6.12256852029557e-05,6.048903594361341e-05
China,I_NDX,30m,Vol,-0.1338806080562267,3.9587394999635186e-05,3.717690746928249e-05
China,I_NDX,1h,Vol,0.13016738073062273,2.1719115839673177e-05,2.328757661264469e-05
China,I_NDX,1d,Vol,0.44502595064876693,6.144297588589179e-06,8.247757889516498e-06
China,X_BTCUSD,5m,Beta,-1.7444815861164922,2.368919589407635,1.4299477168417036
China,X_BTCUSD,15m,Beta,-3.8182694602468583,1.5509751712213997,0.706576685876667
China,X_BTCUSD,30m,Beta,-1.6194114282935046,1.3350450774006497,0.8248862620791322
China,X_BTCUSD,1h,Beta,-0.9092047912839396,1.0262322634691576,0.7427102309297444
China,X_BTCUSD,1d,Beta,-1.283622296427653,0.7965459980015801,0.5271069259239001
China,CL,5m,Beta,0.03561442745579879,3.3589052436864377,3.4203645773685336
China,CL,15m,Beta,-0.8044441392393993,1.5942218262825825,1.1867986119335874
China,CL,30m,Beta,-0.45343991835900166,1.5124516693785306,1.2545355245508296
