Topic,Asset,Interval,Target param,word_count,hour_sin,hour_cos,return_1d_lag1,vol_1d_lag1,return_1d_sma5,vol_1d_sma5,topic_sentiment
China,X_BTCUSD,5m,Return,0.1278685350195043,0.08335223293343257,0.2447207761601018,0.09897571882614428,0.033649682478346404,0.10991052690486605,0.10230807816607185,0.1992144495115328
China,X_BTCUSD,15m,Return,0.2037159155512828,0.11725418544144242,0.06787392061330755,0.09772808784275347,0.06333784073758215,0.16984291684985034,0.12080389304697838,0.15944323991680295
China,X_BTCUSD,30m,Return,0.2687360641776453,0.15231497186031837,0.06104239678558314,0.08066556732331584,0.027981875406760802,0.08576130617682626,0.05248220838077393,0.2710156098887764
China,X_BTCUSD,1h,Return,0.26987955599949326,0.10697566438276224,0.06012444646572337,0.08001454880979263,0.03392953084921357,0.07119464238643666,0.09069804968077465,0.2871835614258036
China,X_BTCUSD,1d,Return,0.23257719737611024,0.13773747519465762,0.053672734597693374,0.17035478989403446,0.04517997477016666,0.1709507960679597,0.0845937572764416,0.10493327482293628
China,CL,5m,Return,0.12219986643007616,0.03585369458475065,0.06897528488168092,0.07941240014312867,0.04073459997373505,0.09683288458430257,0.4310454150788563,0.12494585432346957
China,CL,15m,Return,0.05318614701404375,0.03736745675225388,0.02952495600978291,0.0532445062531007,0.0669810316261499,0.11708954820318247,0.6063392032466263,0.0362671508948601
China,CL,30m,Return,0.07126948237686691,0.05407771712340443,0.04677899945541013,0.08054822494619739,0.06543766897979066,0.18119697939596757,0.42073951785319785,0.07995140986916514
China,CL,1h,Return,0.07042472553887863,0.023376676961121164,0.030323023396408265,0.07561335822730081,0.0754078809117474,0.12793839090898926,0.5338610416279698,0.06305490242758488
China,CL,1d,Return,0.22919624245205836,0.016336501951816948,0.026710797357717482,0.11753512095551544,0.191276813973077,0.17370643253992288,0.18795964298933499,0.05727844778055696
China,ES,5m,Return,0.14021717206589573,0.03701529551841837,0.05706321016538795,0.06289815497205344,0.09489079335530382,0.3771013726554407,0.1615047872584893,0.06930921400901083
China,ES,15m,Return,0.10304515179191913,0.10681060366499806,0.03721218684614956,0.14391166717251963,0.06353060063464223,0.2801141694884602,0.07869252243022429,0.1866830979710869
China,ES,30m,Return,0.09079364779474391,0.038659120528733236,0.03460051754248235,0.12426595176201624,0.05975300189065239,0.2570417442591696,0.3274998197125706,0.06738619650963164
China,ES,1h,Return,0.05054414703172151,0.0712710217439312,0.05611004052187833,0.10414463402765611,0.09366252312002779,0.39485341686508835,0.18485508140366616,0.0445591352860307
China,ES,1d,Return,0.007739496704842631,0.004375057670191337,0.012480682848931684,0.388756054726005,0.0812548062028377,0.39961613385184674,0.1031272190734031,0.0026505489219418067
China,YM,5m,Return,0.12018622685993365,0.040129973372930776,0.08914286492717516,0.06121633919990429,0.11486060716765875,0.35189988609441203,0.13797465468054193,0.08458944769744338
China,YM,15m,Return,0.11232010933193896,0.15281503867303592,0.03955581665147432,0.16593900663680405,0.07083776359115136,0.24940489876420824,0.08282902361292925,0.12629834273845794
China,YM,30m,Return,0.09928241425666468,0.07137483942641897,0.0478745439656177,0.1435811764229069,0.08012710883487385,0.23980003911145967,0.25793088324419333,0.06002899473786497
China,YM,1h,Return,0.06494714066041483,0.08867514235072464,0.049239409953758896,0.12948429552487697,0.10205956081540918,0.31804977057984335,0.18225320340409698,0.06529147671087504
China,YM,1d,Return,0.022851673633264253,0.014677177299684738,0.014217901987997428,0.3067678669480411,0.13594849170020326,0.3539439338717944,0.13566765075586001,0.01592530380315475
China,ZN,5m,Return,0.1256956371082241,0.11543685658001575,0.12992820578109138,0.10347199369865819,0.044995909740754826,0.11461035603572613,0.11476494412134457,0.25109609693418516
China,ZN,15m,Return,0.15515612105694104,0.11139188283109216,0.21750837099804646,0.09764764139886677,0.05819795399675495,0.12469390743414685,0.06946106797420311,0.16594305430994868
China,ZN,30m,Return,0.06698875750864089,0.14802209959489143,0.040962071037146115,0.10945683811111837,0.04858967248998783,0.46087094803367307,0.06494545326356965,0.060164159960972664
China,ZN,1h,Return,0.037917280550845686,0.20321577283441375,0.04063716392081352,0.10999629803228396,0.02482841286130031,0.4279112536189584,0.06596786572219829,0.08952595245918615
China,ZN,1d,Return,0.14110669454127675,0.12615435618681944,0.06657655793142091,0.18338763689190607,0.03370393029657409,0.17355579895503856,0.07427132355510827,0.20124370164185573
China,I_NDX,5m,Return,0.1727050534851588,0.06725468309176902,0.06383728561560342,0.12234163183523881,0.048099845676933387,0.09053365602802378,0.08753926737839057,0.3476885768888823
China,I_NDX,15m,Return,0.1563326576044028,0.04850014388089232,0.03339892330204055,0.07561675730828255,0.08654478296160961,0.2504621406714479,0.08631276573739574,0.26283182853392867
China,I_NDX,30m,Return,0.2198857029760394,0.20761076471938056,0.056578679193496316,0.05256604737165171,0.03427328638401708,0.21852639381574748,0.05968969913653746,0.15086942640312997
China,I_NDX,1h,Return,0.09134942145140344,0.08404852202643436,0.045624448833235166,0.05868075080446635,0.04671868390396265,0.35842045486491597,0.11406353202568556,0.20109418608989652
China,I_NDX,1d,Return,0.007889241330025592,0.005747443617850984,0.030290190535667966,0.36385451125636237,0.03297508292805383,0.4806656317593044,0.0719535843270779,0.006624314245657069
China,X_BTCUSD,5m,Vol,0.17821895400133506,0.0956333910876642,0.1203705300950573,0.07579978874623791,0.04572962167671553,0.08618531623011937,0.09343225231558171,0.30463014584728887
China,X_BTCUSD,15m,Vol,0.1681930034925237,0.13300313696493815,0.08914620828257573,0.13001290474415908,0.07600409850556576,0.11735759177304655,0.08330066179398647,0.20298239444320468
China,X_BTCUSD,30m,Vol,0.13218056130024963,0.11285127518835683,0.07167320902830798,0.11052818313152922,0.07608068325722957,0.11889364565350423,0.18257640567511108,0.19521603676571136
China,X_BTCUSD,1h,Vol,0.09671505084027646,0.09772809505389836,0.0883776028232428,0.15197181104770552,0.08098296453288364,0.08286786559786403,0.1772721367027042,0.22408447340142487
China,X_BTCUSD,1d,Vol,0.5480986577191521,0.03913874528587752,0.1158160685833758,0.057109425203937754,0.05892181871575376,0.046946152553100216,0.057093478250533736,0.07687565368826907
China,CL,5m,Vol,0.1399084927329364,0.07393950555037059,0.13281146958068707,0.05117437504639112,0.015985535968696053,0.10439309866453222,0.3839294769994429,0.09785804545694349
