timestamp_utc,timestamp_ms,open,high,low,close,volume,ticker
2024-12-29 23:59:00,1735516740000,70.43,70.45,70.43,70.44,20,CLG5
2024-12-29 23:58:00,1735516680000,70.42,70.42,70.42,70.42,2,CLG5
2024-12-29 23:57:00,1735516620000,70.42,70.43,70.42,70.42,13,CLG5
2024-12-29 23:56:00,1735516560000,70.44,70.44,70.44,70.44,1,CLG5
2024-12-29 23:55:00,1735516500000,70.44,70.45,70.43,70.44,27,CLG5
2024-12-29 23:54:00,1735516440000,70.45,70.46,70.42,70.44,100,CLG5
2024-12-29 23:53:00,1735516380000,70.46,70.46,70.46,70.46,2,CLG5
2024-12-29 23:52:00,1735516320000,70.45,70.46,70.45,70.46,13,CLG5
2024-12-29 23:51:00,1735516260000,70.44,70.45,70.44,70.45,9,CLG5
2024-12-29 23:50:00,1735516200000,70.46,70.46,70.45,70.45,6,CLG5
2024-12-29 23:49:00,1735516140000,70.47,70.47,70.46,70.47,7,CLG5
2024-12-29 23:48:00,1735516080000,70.46,70.51,70.46,70.47,72,CLG5
2024-12-29 23:47:00,1735516020000,70.46,70.47,70.45,70.45,15,CLG5
2024-12-29 23:46:00,1735515960000,70.45,70.45,70.45,70.45,3,CLG5
2024-12-29 23:45:00,1735515900000,70.44,70.45,70.44,70.45,4,CLG5
2024-12-29 23:44:00,1735515840000,70.45,70.45,70.44,70.44,7,CLG5
2024-12-29 23:43:00,1735515780000,70.43,70.45,70.43,70.44,38,CLG5
2024-12-29 23:42:00,1735515720000,70.41,70.43,70.41,70.43,7,CLG5
2024-12-29 23:41:00,1735515660000,70.43,70.43,70.41,70.42,32,CLG5
2024-12-29 23:40:00,1735515600000,70.38,70.43,70.38,70.42,93,CLG5
2024-12-29 23:39:00,1735515540000,70.39,70.39,70.38,70.38,10,CLG5
2024-12-29 23:38:00,1735515480000,70.4,70.42,70.37,70.38,115,CLG5
2024-12-29 23:37:00,1735515420000,70.39,70.4,70.37,70.38,119,CLG5
2024-12-29 23:36:00,1735515360000,70.4,70.4,70.4,70.4,34,CLG5
2024-12-29 23:35:00,1735515300000,70.41,70.42,70.41,70.41,12,CLG5
2024-12-29 23:34:00,1735515240000,70.41,70.42,70.41,70.41,24,CLG5
2024-12-29 23:33:00,1735515180000,70.39,70.42,70.39,70.4,31,CLG5
2024-12-29 23:32:00,1735515120000,70.37,70.4,70.37,70.4,34,CLG5
2024-12-29 23:31:00,1735515060000,70.37,70.38,70.36,70.37,15,CLG5
2024-12-29 23:30:00,1735515000000,70.39,70.39,70.37,70.37,22,CLG5
2024-12-29 23:29:00,1735514940000,70.38,70.38,70.38,70.38,5,CLG5
2024-12-29 23:28:00,1735514880000,70.39,70.39,70.39,70.39,8,CLG5
2024-12-29 23:27:00,1735514820000,70.38,70.39,70.36,70.39,28,CLG5
2024-12-29 23:26:00,1735514760000,70.38,70.38,70.37,70.37,8,CLG5
2024-12-29 23:25:00,1735514700000,70.38,70.38,70.37,70.37,7,CLG5
2024-12-29 23:24:00,1735514640000,70.33,70.37,70.33,70.37,23,CLG5
2024-12-29 23:23:00,1735514580000,70.33,70.33,70.32,70.33,4,CLG5
2024-12-29 23:22:00,1735514520000,70.32,70.33,70.32,70.33,12,CLG5
2024-12-29 23:21:00,1735514460000,70.32,70.34,70.3,70.33,21,CLG5
2024-12-29 23:20:00,1735514400000,70.35,70.35,70.33,70.33,14,CLG5
2024-12-29 23:19:00,1735514340000,70.35,70.35,70.34,70.35,13,CLG5
2024-12-29 23:18:00,1735514280000,70.39,70.39,70.33,70.35,51,CLG5
2024-12-29 23:17:00,1735514220000,70.34,70.39,70.34,70.39,67,CLG5
2024-12-29 23:16:00,1735514160000,70.32,70.38,70.31,70.35,155,CLG5
2024-12-29 23:15:00,1735514100000,70.3,70.33,70.3,70.32,70,CLG5
2024-12-29 23:14:00,1735514040000,70.3,70.3,70.28,70.29,23,CLG5
2024-12-29 23:13:00,1735513980000,70.31,70.31,70.3,70.3,24,CLG5
2024-12-29 23:12:00,1735513920000,70.28,70.3,70.28,70.3,26,CLG5
2024-12-29 23:11:00,1735513860000,70.29,70.3,70.27,70.28,78,CLG5
2024-12-29 23:10:00,1735513800000,70.27,70.3,70.26,70.29,102,CLG5
2024-12-29 23:09:00,1735513740000,70.26,70.27,70.25,70.27,34,CLG5
2024-12-29 23:08:00,1735513680000,70.26,70.26,70.25,70.26,22,CLG5
2024-12-29 23:07:00,1735513620000,70.22,70.28,70.22,70.26,37,CLG5
2024-12-29 23:06:00,1735513560000,70.25,70.26,70.23,70.23,11,CLG5
2024-12-29 23:05:00,1735513500000,70.19,70.26,70.19,70.25,89,CLG5
2024-12-29 23:04:00,1735513440000,70.19,70.21,70.18,70.19,34,CLG5
2024-12-29 23:03:00,1735513380000,70.19,70.2,70.15,70.17,61,CLG5
2024-12-29 23:02:00,1735513320000,70.23,70.23,70.15,70.18,106,CLG5
2024-12-29 23:01:00,1735513260000,70.24,70.24,70.14,70.21,192,CLG5
2024-12-29 23:00:00,1735513200000,70.42,70.42,70.12,70.24,516,CLG5
