timestamp_utc,timestamp_ms,open,high,low,close,volume
2026-01-18 00:00:00,1768694400000,59.01,60.68,58.7,60.53,8156
2026-01-15 00:00:00,1768435200000,59.26,60.18,58.94,59.3,17377
2026-01-14 00:00:00,1768348800000,61.06,61.14,58.88,59.29,43487
2026-01-13 00:00:00,1768262400000,61.12,62.36,59.19,61.05,230568
2026-01-12 00:00:00,1768176000000,59.95,61.5,59.47,61.1,218417
2026-01-11 00:00:00,1768089600000,59,59.91,58.45,59.84,162380
2026-01-08 00:00:00,1767830400000,58.4,59.77,57.61,58.78,204546
2026-01-07 00:00:00,1767744000000,56.42,58.74,55.97,58.4,184041
2026-01-06 00:00:00,1767657600000,57,57.17,55.76,56.4,223654
2026-01-05 00:00:00,1767571200000,58.34,58.87,56.84,56.97,181771
2026-01-04 00:00:00,1767484800000,57.47,58.51,56.31,58.35,190236
2026-01-01 00:00:00,1767225600000,57.41,57.93,56.6,57.33,121816
2025-12-30 00:00:00,1767052800000,57.95,58.55,57.2,57.41,94035
2025-12-29 00:00:00,1766966400000,57.81,58.47,57.6,57.95,84583
2025-12-28 00:00:00,1766880000000,57.04,58.3,56.91,57.83,119038
2025-12-25 00:00:00,1766620800000,58.35,58.88,56.65,56.93,108121
2025-12-23 00:00:00,1766448000000,58.47,58.75,58.13,58.4,64502
2025-12-22 00:00:00,1766361600000,57.95,58.56,57.74,58.47,97430
2025-12-21 00:00:00,1766275200000,56.63,58.13,56.6,57.95,137292
2025-12-18 00:00:00,1766016000000,55.9,56.72,55.61,56.54,131684
2025-12-17 00:00:00,1765929600000,56.77,56.85,55.73,55.9,134077
2025-12-16 00:00:00,1765843200000,55.08,56.81,55.08,56.74,185960
2025-12-15 00:00:00,1765756800000,56.49,56.54,54.89,55.07,112740
2025-12-14 00:00:00,1765670400000,57.33,57.61,56.23,56.53,78645
2025-12-11 00:00:00,1765411200000,57.74,58.01,56.97,57.34,59194
2025-12-10 00:00:00,1765324800000,58.72,58.76,56.85,57.76,59480
2025-12-09 00:00:00,1765238400000,58.23,58.83,57.52,58.77,45233
2025-12-08 00:00:00,1765152000000,58.67,58.93,57.95,58.25,40297
