timestamp_utc,timestamp_ms,open,high,low,close,volume
2026-04-20 00:00:00,1776643200000,87.89,94.45,87.76,91.8,7084
2026-04-19 00:00:00,1776556800000,89,91.2,87.02,87.8,16975
2026-04-16 00:00:00,1776297600000,93.18,94.04,80.56,85.57,42727
2026-04-15 00:00:00,1776211200000,91.47,95.44,90.52,93.19,104918
2026-04-14 00:00:00,1776124800000,92.02,93.3,86.96,91.39,152155
2026-04-13 00:00:00,1776038400000,97.99,98,91.06,92.07,194538
2026-04-12 00:00:00,1775952000000,102,105.63,97.03,98.01,233231
2026-04-09 00:00:00,1775692800000,98.23,100.42,95.51,95.63,199359
2026-04-08 00:00:00,1775606400000,96.78,102.7,95.25,97.98,303727
2026-04-07 00:00:00,1775520000000,108.74,109.19,91.05,96.5,435934
2026-04-06 00:00:00,1775433600000,112.62,117.63,109.2,110.34,319146
2026-04-05 00:00:00,1775347200000,112.96,115.48,108.89,112.61,193593
2026-04-01 00:00:00,1775001600000,98.92,113.97,97.5,112.06,408826
2026-03-31 00:00:00,1774915200000,101.72,103.31,96.5,98.9,299923
2026-03-30 00:00:00,1774828800000,105.07,106.86,99.62,101.56,372401
2026-03-29 00:00:00,1774742400000,102.6,105.36,99.43,105.01,264745
2026-03-26 00:00:00,1774483200000,93.31,101.24,92.08,101.18,250499
2026-03-25 00:00:00,1774396800000,91.38,95.44,89.51,93.79,248082
2026-03-24 00:00:00,1774310400000,88.49,91.73,86.46,91.29,294070
2026-03-23 00:00:00,1774224000000,88.78,93.36,86.34,88.39,304534
2026-03-22 00:00:00,1774137600000,100.51,101.67,84.37,88.87,487281
2026-03-19 00:00:00,1773878400000,94.46,98.75,92.47,98.08,308496
2026-03-18 00:00:00,1773792000000,98.06,100.48,92.1,94.59,505055
2026-03-17 00:00:00,1773705600000,95.27,99.78,91.45,99.02,433720
2026-03-16 00:00:00,1773619200000,93.42,97.65,92.88,95.3,229228
2026-03-15 00:00:00,1773532800000,98.76,99.95,91.82,93.23,220714
2026-03-12 00:00:00,1773273600000,95.52,97.31,91.09,97.2,163468
2026-03-11 00:00:00,1773187200000,87.46,95.68,87.18,95.08,229825
2026-03-10 00:00:00,1773100800000,85.11,87.32,80.6,87.07,193824
2026-03-09 00:00:00,1773014400000,83,88.49,75.64,84.82,274821
2026-03-08 00:00:00,1772928000000,91.91,113.41,79,82.68,382595
2026-03-05 00:00:00,1772668800000,77.2,88.16,76.4,87.85,243481
2026-03-04 00:00:00,1772582400000,74.61,79.47,73.79,77.04,175615
2026-03-03 00:00:00,1772496000000,73.56,75.99,72.19,74.61,123653
2026-03-02 00:00:00,1772409600000,70.66,76.75,69.93,73.77,192790
2026-03-01 00:00:00,1772323200000,73.71,74.7,69,70.47,146768
2026-02-26 00:00:00,1772064000000,65.37,67.65,64.76,67.14,62776
2026-02-25 00:00:00,1771977600000,65.55,66.55,63.57,65.36,70885
2026-02-24 00:00:00,1771891200000,65.97,66.47,65.05,65.47,36906
2026-02-23 00:00:00,1771804800000,66.13,66.97,65.46,65.97,41333
2026-02-22 00:00:00,1771718400000,65.72,67.05,65.24,66.1,32206
2026-02-19 00:00:00,1771459200000,66.49,66.79,65.63,66.13,35409
2026-02-18 00:00:00,1771372800000,64.71,66.67,64.62,66.48,40319
2026-02-17 00:00:00,1771286400000,62.07,65.19,61.92,64.72,38976
2026-02-15 00:00:00,1771113600000,62.9,63.75,61.62,62.08,34543
2026-02-12 00:00:00,1770854400000,62.59,62.87,61.85,62.51,17054
2026-02-11 00:00:00,1770768000000,64.54,64.7,62.05,62.55,19330
2026-02-10 00:00:00,1770681600000,63.81,65.35,63.81,64.54,15108
2026-02-09 00:00:00,1770595200000,64.07,64.31,63.34,63.81,11196
2026-02-08 00:00:00,1770508800000,62.79,64.4,62.25,64.08,9949
2026-02-05 00:00:00,1770249600000,62.6,63.98,61.78,63.05,16600
2026-02-04 00:00:00,1770163200000,63.85,63.94,62.08,62.6,15471
2026-02-03 00:00:00,1770076800000,62.93,64.66,62.15,63.75,21761
2026-02-02 00:00:00,1769990400000,61.42,63.35,60.37,63.13,15911
2026-02-01 00:00:00,1769904000000,63.63,63.68,60.69,61.54,19141
2026-01-29 00:00:00,1769644800000,64.51,65.13,62.87,64.66,23336
2026-01-28 00:00:00,1769558400000,62.71,65.48,62.54,64.58,33589
2026-01-27 00:00:00,1769472000000,61.91,62.84,61.52,62.81,15807
2026-01-26 00:00:00,1769385600000,60.34,62,59.79,61.94,15743
2026-01-25 00:00:00,1769299200000,60.69,61.17,59.98,60.42,11957
2026-01-22 00:00:00,1769040000000,59.25,60.8,59.19,60.73,12215
2026-01-21 00:00:00,1768953600000,60.13,60.34,58.7,59.33,10056
2026-01-20 00:00:00,1768867200000,59.21,60.39,58.85,60.23,13110
2026-01-18 00:00:00,1768694400000,58.7,59.94,58.29,59.18,12740
2026-01-15 00:00:00,1768435200000,58.83,59.67,58.57,58.91,4827
2026-01-14 00:00:00,1768348800000,60.44,60.52,58.49,58.85,7766
2026-01-13 00:00:00,1768262400000,60.35,61.64,58.84,60.55,8439
2026-01-12 00:00:00,1768176000000,59.22,60.57,58.99,60.33,5869
2026-01-11 00:00:00,1768089600000,58.42,59.3,58.06,59.26,4046
2026-01-08 00:00:00,1767830400000,58.01,59.22,57.33,58.32,4054
2026-01-07 00:00:00,1767744000000,56.08,58.31,55.74,58,3982
2026-01-06 00:00:00,1767657600000,56.66,56.75,55.57,56.11,3700
2026-01-05 00:00:00,1767571200000,57.78,58.21,56.42,56.54,3444
2026-01-04 00:00:00,1767484800000,57,57.91,55.97,57.85,4306
2026-01-01 00:00:00,1767225600000,57.04,57.47,56.26,56.96,1881
2025-12-30 00:00:00,1767052800000,57.46,58.06,56.8,57,3375
2025-12-29 00:00:00,1766966400000,57.36,57.99,57.2,57.54,2175
2025-12-28 00:00:00,1766880000000,56.64,57.82,56.64,57.39,3141
2025-12-25 00:00:00,1766620800000,57.98,58.36,56.34,56.59,2520
2025-12-23 00:00:00,1766448000000,57.96,58.23,57.68,57.94,1429
2025-12-22 00:00:00,1766361600000,57.52,58.04,57.43,57.96,1498
2025-12-21 00:00:00,1766275200000,56.55,57.75,56.55,57.63,1967
2025-12-18 00:00:00,1766016000000,55.88,56.47,55.58,56.32,1907
2025-12-17 00:00:00,1765929600000,56.6,56.62,55.7,55.8,1836
2025-12-16 00:00:00,1765843200000,55.17,56.57,55.17,56.55,2803
2025-12-15 00:00:00,1765756800000,56.38,56.43,54.97,55.11,3147
2025-12-14 00:00:00,1765670400000,57.01,57.27,56.1,56.41,3122
2025-12-11 00:00:00,1765411200000,57.55,57.73,56.73,57.02,1981
2025-12-10 00:00:00,1765324800000,58.35,58.35,56.72,57.55,1750
2025-12-09 00:00:00,1765238400000,57.95,58.5,57.31,58.48,2603
2025-12-08 00:00:00,1765152000000,58.25,58.56,57.75,58,2740
2025-12-07 00:00:00,1765065600000,59.46,59.54,58.15,58.24,2044
2025-12-04 00:00:00,1764806400000,58.84,59.6,58.7,59.47,1272
2025-12-03 00:00:00,1764720000000,58.36,59.24,58.25,58.93,881
2025-12-02 00:00:00,1764633600000,58.14,58.94,57.83,58.42,1394
2025-12-01 00:00:00,1764547200000,58.95,59,57.86,58.07,1569
2025-11-30 00:00:00,1764460800000,58.64,59.18,58.29,58.94,1283
2025-11-26 00:00:00,1764115200000,58.12,59,57.8,57.81,591
2025-11-25 00:00:00,1764028800000,57.68,58.28,57.4,58.15,737
2025-11-24 00:00:00,1763942400000,58.31,58.31,56.82,57.76,1443
2025-11-23 00:00:00,1763856000000,57.61,58.48,57.13,58.35,1314
2025-11-20 00:00:00,1763596800000,58.01,58.05,56.98,57.53,1979
2025-11-19 00:00:00,1763510400000,58.7,59.34,58.05,58.17,804
2025-11-18 00:00:00,1763424000000,60.08,60.1,58.29,58.77,1393
2025-11-17 00:00:00,1763337600000,59.36,60.25,58.98,59.99,1319
2025-11-16 00:00:00,1763251200000,59.2,59.83,59.09,59.31,750
2025-11-13 00:00:00,1762992000000,58.54,59.87,58.54,59.48,1334
2025-11-12 00:00:00,1762905600000,58.36,59.04,58.26,58.43,827
2025-11-11 00:00:00,1762819200000,60.82,60.88,58.43,58.51,2233
2025-11-10 00:00:00,1762732800000,59.88,60.94,59.65,60.84,1050
2025-11-09 00:00:00,1762646400000,59.64,60.12,59.32,59.9,1185
2025-11-06 00:00:00,1762387200000,59.29,59.99,59.19,59.58,1450
2025-11-05 00:00:00,1762300800000,59.46,60.02,58.91,59.25,1608
2025-11-04 00:00:00,1762214400000,59.84,60.39,59.31,59.39,1007
2025-11-03 00:00:00,1762128000000,60.12,60.26,59.43,59.86,1143
2025-11-02 00:00:00,1762041600000,60.4,60.59,59.76,60.26,779
2025-10-30 00:00:00,1761782400000,59.6,60.29,59.32,59.94,774
2025-10-29 00:00:00,1761696000000,59.6,60.02,59.01,59.6,910
2025-10-28 00:00:00,1761609600000,59.53,60.09,59.27,59.73,477
2025-10-27 00:00:00,1761523200000,60.22,60.22,59.09,59.5,663
2025-10-26 00:00:00,1761436800000,60.45,60.48,59.5,60.25,852
2025-10-23 00:00:00,1761177600000,59.86,60.57,59.72,60,1089
2025-10-22 00:00:00,1761091200000,59.56,60.63,59.35,59.98,1595
2025-10-21 00:00:00,1761004800000,57.94,59.56,57.74,59.09,848
2025-10-20 00:00:00,1760918400000,57.45,58.29,56.97,57.9,597
2025-10-19 00:00:00,1760832000000,57.7,57.7,56.75,57.51,524
2025-10-16 00:00:00,1760572800000,57.23,57.75,56.61,57.7,719
2025-10-15 00:00:00,1760486400000,58.38,58.59,57.06,57.15,775
2025-10-14 00:00:00,1760400000000,58.42,58.79,57.94,58.26,547
2025-10-13 00:00:00,1760313600000,59.16,59.26,57.49,58.16,765
2025-10-12 00:00:00,1760227200000,58.75,59.36,58.66,59.09,884
2025-10-09 00:00:00,1759968000000,60.58,60.61,57.82,57.85,1029
2025-10-08 00:00:00,1759881600000,60.96,61.49,60.25,60.56,414
2025-10-07 00:00:00,1759795200000,61.07,61.55,60.99,61.2,381
2025-10-06 00:00:00,1759708800000,61.07,61.24,60.15,61.04,404
2025-10-05 00:00:00,1759622400000,60.46,61.08,60.4,60.99,586
2025-10-02 00:00:00,1759363200000,60.09,60.54,60.04,60.16,704
2025-10-01 00:00:00,1759276800000,60.81,61.37,59.83,60.13,436
2025-09-30 00:00:00,1759190400000,61.35,61.62,60.52,60.93,437
2025-09-29 00:00:00,1759104000000,61.85,61.93,60.99,61.42,371
2025-09-28 00:00:00,1759017600000,63.42,63.75,61.91,61.96,417
2025-09-25 00:00:00,1758758400000,63.44,64.4,63.14,63.52,540
2025-09-24 00:00:00,1758672000000,63.13,63.48,62.63,63.4,599
2025-09-23 00:00:00,1758585600000,62.37,63.19,62.06,63.07,812
2025-09-22 00:00:00,1758499200000,61.1,62.62,61.1,62.43,609
2025-09-21 00:00:00,1758412800000,61.68,61.81,60.85,61.44,528
2025-09-18 00:00:00,1758153600000,62.12,62.17,61.21,61.31,741
2025-09-17 00:00:00,1758067200000,62.41,62.97,62.03,62.21,597
2025-09-16 00:00:00,1757980800000,63.25,63.25,62.36,62.58,117
2025-09-15 00:00:00,1757894400000,62.48,63.26,62.09,63.21,247
2025-09-14 00:00:00,1757808000000,62.13,62.65,62.13,62.36,153
2025-09-11 00:00:00,1757548800000,61.29,62.73,61.05,61.81,191
2025-09-10 00:00:00,1757462400000,62.68,62.68,61.46,61.46,133
2025-09-09 00:00:00,1757376000000,62.24,62.83,62.2,62.73,169
2025-09-08 00:00:00,1757289600000,62.04,62.04,61.79,61.86,41
2025-09-07 00:00:00,1757203200000,61.06,62.04,61.06,61.49,115
