timestamp_utc,timestamp_ms,open,high,low,close,volume
2024-12-18 00:00:00,1734480000000,70.14,71.26,69.7,69.85,7542
2024-12-17 00:00:00,1734393600000,70.22,71.38,69.99,70,10403
2024-12-16 00:00:00,1734307200000,70.61,70.92,69.18,70.26,26606
2024-12-15 00:00:00,1734220800000,71.44,71.44,70.37,70.65,97222
2024-12-12 00:00:00,1733961600000,70.06,71.42,69.87,71.09,125188
2024-12-11 00:00:00,1733875200000,70.43,70.72,69.14,70.01,177836
2024-12-10 00:00:00,1733788800000,68.5,70.53,68.44,70.38,181146
2024-12-09 00:00:00,1733702400000,68.19,69.06,67.72,68.47,157091
2024-12-08 00:00:00,1733616000000,67.15,68.88,67.08,68.16,152300
2024-12-05 00:00:00,1733356800000,68.44,68.49,66.98,67.17,165786
2024-12-04 00:00:00,1733270400000,68.74,69.16,67.98,68.45,173823
2024-12-03 00:00:00,1733184000000,70.02,70.51,68.49,68.73,185992
2024-12-02 00:00:00,1733097600000,68.16,70.23,67.91,69.97,193764
2024-12-01 00:00:00,1733011200000,68,69.11,67.71,68.17,170048
2024-11-27 00:00:00,1732665600000,68.77,69.3,68.27,69.15,60219
2024-11-26 00:00:00,1732579200000,68.91,69.37,68.18,68.77,145351
2024-11-25 00:00:00,1732492800000,69.08,70.3,68.05,68.96,201219
2024-11-24 00:00:00,1732406400000,71.44,71.48,68.74,69.08,244985
2024-11-21 00:00:00,1732147200000,70.18,71.51,69.29,71.18,216559
2024-11-20 00:00:00,1732060800000,69.04,70.38,68.86,70.13,167136
2024-11-19 00:00:00,1731974400000,69.28,69.96,68.64,69.04,155304
2024-11-18 00:00:00,1731888000000,69.08,69.74,68.48,69.26,200531
2024-11-17 00:00:00,1731801600000,66.77,69.37,66.53,69.08,181993
2024-11-12 00:00:00,1731369600000,67.82,68.69,66.8,67.87,63518
2024-11-11 00:00:00,1731283200000,68.04,68.97,67.65,67.81,54172
2024-11-10 00:00:00,1731196800000,69.99,70.3,67.79,68.04,48136
2024-11-07 00:00:00,1730937600000,71.8,71.87,69.67,70.17,41679
2024-11-06 00:00:00,1730851200000,71.41,72.41,70.27,71.8,44563
2024-11-05 00:00:00,1730764800000,71.57,72.18,69.35,71.44,49129
2024-11-04 00:00:00,1730678400000,71.17,72.2,70.86,71.53,31901
2024-11-03 00:00:00,1730592000000,69.87,71.36,69.84,71.25,32623
2024-10-31 00:00:00,1730332800000,69.96,70.95,68.9,68.92,32567
2024-10-30 00:00:00,1730246400000,68.65,70.31,67.87,70.07,35949
2024-10-29 00:00:00,1730160000000,66.97,68.73,66.88,68.65,29661
2024-10-28 00:00:00,1730073600000,67.63,68.09,66.32,67.09,30510
2024-10-27 00:00:00,1729987200000,68.58,68.6,66.59,67.58,41847
2024-10-24 00:00:00,1729728000000,70.02,71.52,69.63,71.3,24632
2024-10-23 00:00:00,1729641600000,70.62,71.87,69.41,70,25300
2024-10-22 00:00:00,1729555200000,70.94,71.29,69.76,70.62,24282
2024-10-21 00:00:00,1729468800000,69.45,71.61,68.93,70.9,25848
2024-10-20 00:00:00,1729382400000,68.38,69.92,68.1,69.34,23214
2024-10-17 00:00:00,1729123200000,69.69,70.2,67.78,68.44,26139
2024-10-16 00:00:00,1729036800000,69.65,70.11,68.49,69.73,13224
2024-10-15 00:00:00,1728950400000,69.98,70.27,68.77,69.71,12626
2024-10-14 00:00:00,1728864000000,70.78,71.17,68.89,70.03,16831
2024-10-13 00:00:00,1728777600000,73.75,73.79,70.85,70.9,10663
2024-10-10 00:00:00,1728518400000,74.4,74.68,73.33,74.2,11871
2024-10-09 00:00:00,1728432000000,72.29,74.83,72.11,74.29,14183
2024-10-08 00:00:00,1728345600000,72.86,73.33,70.63,72.17,14460
2024-10-07 00:00:00,1728259200000,76.17,77.04,71.73,72.86,22732
2024-10-06 00:00:00,1728172800000,73.18,76.07,72.49,75.96,15123
2024-10-03 00:00:00,1727913600000,72.92,74.19,72.5,73.17,18627
2024-10-02 00:00:00,1727827200000,70.03,73.05,69.74,72.66,18428
2024-10-01 00:00:00,1727740800000,69.83,71.49,69.12,70.15,16713
2024-09-30 00:00:00,1727654400000,67.72,70.92,65.74,69.86,26413
2024-09-29 00:00:00,1727568000000,67.74,68.52,66.9,67.63,14110
2024-09-26 00:00:00,1727308800000,67.05,67.79,66.26,67.77,12356
2024-09-25 00:00:00,1727222400000,68.91,69.14,66.23,66.66,18087
2024-09-24 00:00:00,1727136000000,70.33,70.54,68.36,68.9,14863
2024-09-23 00:00:00,1727049600000,69.48,71.04,69.19,70.37,11359
2024-09-22 00:00:00,1726963200000,69.75,70.34,68.22,69.43,10752
2024-09-19 00:00:00,1726704000000,69.69,69.87,68.93,69.72,8397
2024-09-18 00:00:00,1726617600000,67.93,70.04,67.92,69.62,9435
2024-09-17 00:00:00,1726531200000,68.75,69,67.42,67.92,9100
2024-09-16 00:00:00,1726444800000,68.09,69.29,67.38,68.72,7752
2024-09-15 00:00:00,1726358400000,67.1,68.36,66.62,68.09,5919
2024-09-12 00:00:00,1726099200000,67.59,68.15,66.55,67.14,6291
2024-09-11 00:00:00,1726012800000,65.85,67.8,65.74,67.3,8784
2024-09-10 00:00:00,1725926400000,64.93,66.16,64.22,65.87,9387
