timestamp_utc,timestamp_ms,open,high,low,close,volume
2026-03-19 00:00:00,1773878400000,46108,46212,45713,45880,651
2026-03-18 00:00:00,1773792000000,46226,46315,45750,46091,4465
2026-03-17 00:00:00,1773705600000,47021,47327,46076,46100,13859
2026-03-16 00:00:00,1773619200000,46940,47457,46708,47033,17350
2026-03-15 00:00:00,1773532800000,46392,47218,46392,46972,33434
2026-03-12 00:00:00,1773273600000,46769,47162,46459,46511,126690
2026-03-11 00:00:00,1773187200000,47372,47383,46703,46773,170088
2026-03-10 00:00:00,1773100800000,47795,47970,47210,47383,132008
2026-03-09 00:00:00,1773014400000,47756,48266,47475,47765,173652
2026-03-08 00:00:00,1772928000000,47177,47923,46333,47730,194199
2026-03-05 00:00:00,1772668800000,47954,48123,47025,47480,158159
2026-03-04 00:00:00,1772582400000,48788,48886,47613,47941,167586
2026-03-03 00:00:00,1772496000000,48475,48916,48266,48811,133864
2026-03-02 00:00:00,1772409600000,48928,48935,47681,48489,206234
2026-03-01 00:00:00,1772323200000,48451,49121,48166,48927,143647
2026-02-26 00:00:00,1772064000000,49336,49396,48699,48909,127464
2026-02-25 00:00:00,1771977600000,49483,49872,49261,49351,126559
2026-02-24 00:00:00,1771891200000,49206,49583,49124,49495,83170
2026-02-23 00:00:00,1771804800000,48903,49343,48801,49203,110412
2026-02-22 00:00:00,1771718400000,49642,49765,48775,48886,137960
2026-02-19 00:00:00,1771459200000,49432,49775,49204,49680,127491
2026-02-18 00:00:00,1771372800000,49697,49788,49258,49421,94934
2026-02-17 00:00:00,1771286400000,49619,49967,49489,49710,90355
2026-02-15 00:00:00,1771113600000,49549,49820,49240,49624,142437
2026-02-12 00:00:00,1770854400000,49553,49817,49155,49523,136852
2026-02-11 00:00:00,1770768000000,50216,50521,49493,49557,135534
2026-02-10 00:00:00,1770681600000,50325,50585,49977,50201,112309
2026-02-09 00:00:00,1770595200000,50197,50611,50107,50332,103342
2026-02-08 00:00:00,1770508800000,50240,50339,49908,50197,100244
2026-02-05 00:00:00,1770249600000,48845,50263,48703,50200,153154
2026-02-04 00:00:00,1770163200000,49524,49690,48848,48878,141372
2026-02-03 00:00:00,1770076800000,49379,49758,49215,49547,131401
2026-02-02 00:00:00,1769990400000,49481,49767,48934,49366,148138
2026-02-01 00:00:00,1769904000000,48864,49602,48506,49485,119629
2026-01-29 00:00:00,1769644800000,49123,49169,48571,48980,140179
2026-01-28 00:00:00,1769558400000,49134,49442,48724,49107,146779
2026-01-27 00:00:00,1769472000000,49150,49290,48990,49125,89448
2026-01-26 00:00:00,1769385600000,49421,49566,49007,49130,103294
2026-01-25 00:00:00,1769299200000,49036,49644,48850,49373,89119
2026-01-22 00:00:00,1769040000000,49506,49620,49119,49180,95263
2026-01-21 00:00:00,1768953600000,49296,49795,49257,49507,109047
2026-01-20 00:00:00,1768867200000,48727,49482,48488,49281,149334
2026-01-18 00:00:00,1768694400000,49310,49328,48611,48730,171624
2026-01-15 00:00:00,1768435200000,49653,49799,49424,49554,92930
2026-01-14 00:00:00,1768348800000,49277,49792,49253,49643,114333
2026-01-13 00:00:00,1768262400000,49372,49400,49057,49304,122001
2026-01-12 00:00:00,1768176000000,49764,49901,49274,49386,110694
2026-01-11 00:00:00,1768089600000,49720,49855,49212,49762,101561
2026-01-08 00:00:00,1767830400000,49569,49793,49408,49733,81782
2026-01-07 00:00:00,1767744000000,49239,49603,49001,49568,104972
2026-01-06 00:00:00,1767657600000,49752,49876,49182,49232,102308
2026-01-05 00:00:00,1767571200000,49225,49766,49096,49748,94555
2026-01-04 00:00:00,1767484800000,48653,49463,48556,49220,106920
2026-01-01 00:00:00,1767225600000,48373,48652,48092,48598,100092
2025-12-30 00:00:00,1767052800000,48685,48693,48315,48351,46186
2025-12-29 00:00:00,1766966400000,48763,48774,48573,48678,42622
2025-12-28 00:00:00,1766880000000,48998,49052,48665,48761,50016
2025-12-25 00:00:00,1766620800000,49050,49086,48872,49002,34342
2025-12-23 00:00:00,1766448000000,48744,49084,48681,49025,26131
2025-12-22 00:00:00,1766361600000,48684,48854,48532,48732,48893
2025-12-21 00:00:00,1766275200000,48600,48787,48458,48678,70697
2025-12-18 00:00:00,1766016000000,48238,48634,48127,48490,69050
2025-12-17 00:00:00,1765929600000,48258,48728,48146,48254,100592
2025-12-16 00:00:00,1765843200000,48456,48749,48207,48272,94679
2025-12-15 00:00:00,1765756800000,48853,48917,48313,48444,94650
2025-12-14 00:00:00,1765670400000,48849,49134,48675,48845,59037
2025-12-11 00:00:00,1765411200000,49246,49299,48738,48908,15068
2025-12-10 00:00:00,1765324800000,48521,49204,48223,49189,5097
2025-12-09 00:00:00,1765238400000,47946,48606,47870,48520,1239
2025-12-08 00:00:00,1765152000000,48139,48362,47938,47938,411
2025-12-07 00:00:00,1765065600000,48370,48412,48021,48168,283
2025-12-04 00:00:00,1764806400000,48250,48536,48175,48367,434
2025-12-03 00:00:00,1764720000000,48344,48472,48120,48274,336
2025-12-02 00:00:00,1764633600000,47926,48428,47796,48392,634
2025-12-01 00:00:00,1764547200000,47681,48008,47631,47887,272
2025-11-30 00:00:00,1764460800000,48070,48086,47690,47709,221
2025-11-26 00:00:00,1764115200000,47837,48157,47837,48113,99
2025-11-25 00:00:00,1764028800000,47550,47974,47550,47862,304
2025-11-24 00:00:00,1763942400000,46869,47594,46768,47550,375
2025-11-23 00:00:00,1763856000000,46847,47006,46579,46885,123
2025-11-20 00:00:00,1763596800000,46255,47000,46155,46719,302
2025-11-19 00:00:00,1763510400000,46715,47291,46155,46198,407
2025-11-18 00:00:00,1763424000000,46530,46702,46345,46618,133
2025-11-17 00:00:00,1763337600000,47090,47104,46360,46502,268
2025-11-16 00:00:00,1763251200000,47602,47716,46923,47084,98
2025-11-13 00:00:00,1762992000000,47978,48015,47349,47643,296
2025-11-12 00:00:00,1762905600000,48732,48860,47885,47978,205
2025-11-11 00:00:00,1762819200000,48405,48900,48399,48778,359
2025-11-10 00:00:00,1762732800000,47856,48450,47784,48443,256
2025-11-09 00:00:00,1762646400000,47599,47878,47438,47878,81
2025-11-06 00:00:00,1762387200000,47425,47550,46950,47550,167
2025-11-05 00:00:00,1762300800000,47814,47835,47273,47555,108
2025-11-04 00:00:00,1762214400000,47475,47928,47450,47814,65
2025-11-03 00:00:00,1762128000000,47827,47827,47386,47546,100
2025-11-02 00:00:00,1762041600000,48228,48228,47651,47825,76
2025-10-30 00:00:00,1761782400000,48085,48197,47893,48102,55
2025-10-29 00:00:00,1761696000000,48112,48539,47922,48030,93
2025-10-28 00:00:00,1761609600000,48209,48550,48000,48138,64
2025-10-27 00:00:00,1761523200000,48059,48474,48059,48200,66
2025-10-26 00:00:00,1761436800000,48017,48110,47917,48110,28
2025-10-23 00:00:00,1761177600000,47369,47840,47340,47740,55
2025-10-22 00:00:00,1761091200000,47089,47323,47015,47272,36
2025-10-21 00:00:00,1761004800000,47490,47490,47000,47095,92
2025-10-20 00:00:00,1760918400000,47272,47662,47148,47499,87
2025-10-19 00:00:00,1760832000000,46801,47275,46788,47272,31
2025-10-16 00:00:00,1760572800000,46400,46811,46016,46748,171
2025-10-15 00:00:00,1760486400000,46926,46958,46374,46466,32
