Topic,Asset,Interval,Target param,Accuracy,Precision,Recall,ROC_AUC,Baseline_Accuracy
China,ES,1d,Return,0.8571428571428571,1.0,0.6,0.8,0.6428571428571428
Federal politics,ES,1d,Return,0.9176755447941889,0.8823529411764706,0.9146341463414634,0.9493584092467432,0.602905569007264
Iran war/Oil,ES,1d,Return,0.5405405405405406,0.4090909090909091,0.6923076923076923,0.6971153846153846,0.6486486486486487
National security/Immigration,ES,1d,Return,0.8829787234042553,0.8333333333333334,0.7407407407407407,0.9054726368159204,0.7127659574468085
Tariffs,ES,1d,Return,0.851063829787234,0.8571428571428571,0.8181818181818182,0.93,0.5319148936170213
China,YM,1d,Return,0.7142857142857143,1.0,0.5,0.71875,0.5714285714285714
Federal politics,YM,1d,Return,0.7288135593220338,0.593103448275862,0.6187050359712231,0.7970382817833326,0.6634382566585957
Federal politics,I_NDX,1d,Return,0.7046004842615012,0.9234972677595629,0.6101083032490975,0.8826183903164153,0.6707021791767555
